Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2024-03-13,172.77,173.185,170.76,171.13,52488692.0,171.13,647120,171.3457,False,AAPL
2024-03-14,172.91,174.3078,172.05,173.0,72913507.0,173.0,806014,173.0899,False,AAPL
2024-03-15,171.17,172.62,170.285,172.62,121752699.0,172.62,771387,171.8002,False,AAPL
2024-03-18,175.57,177.71,173.52,173.72,75604184.0,173.72,866388,175.4587,False,AAPL
2024-03-19,174.34,176.605,173.03,176.08,55215244.0,176.08,636058,175.4779,False,AAPL
2024-03-20,175.72,178.67,175.09,178.67,53423102.0,178.67,641653,177.2239,False,AAPL
2024-03-21,177.05,177.49,170.84,171.37,106181270.0,171.37,1224985,172.7231,False,AAPL
2024-03-22,171.76,173.05,170.06,172.28,71146138.0,172.28,736378,172.0464,False,AAPL
2024-03-25,170.565,171.94,169.45,170.85,54288328.0,170.85,727686,170.7132,False,AAPL
2024-03-26,170.0,171.42,169.58,169.71,57388449.0,169.71,684303,170.323,False,AAPL
2024-03-27,170.41,173.6,170.11,173.31,60263665.0,173.31,670629,172.5879,False,AAPL
2024-03-28,171.75,172.23,170.51,171.48,65671690.0,171.48,648026,171.3942,False,AAPL
2024-04-01,171.19,171.25,169.475,170.03,46240500.0,170.03,676830,170.0696,False,AAPL
2024-04-02,169.08,169.34,168.2302,168.84,49297581.0,168.84,608914,168.8967,False,AAPL
2024-04-03,168.79,170.68,168.58,169.65,47691715.0,169.65,571286,169.8623,False,AAPL
2024-04-04,170.29,171.92,168.82,168.82,53682486.0,168.82,630783,170.1029,False,AAPL
2024-04-05,169.59,170.39,168.95,169.58,42104826.0,169.58,540854,169.6415,False,AAPL
2024-04-08,169.03,169.2,168.24,168.45,37425513.0,168.45,549987,168.6637,False,AAPL
2024-04-09,168.7,170.08,168.35,169.67,42451209.0,169.67,541699,169.1566,False,AAPL
2024-04-10,168.8,169.09,167.11,167.78,49691936.0,167.78,647587,167.9914,False,AAPL
2024-04-11,168.34,175.46,168.16,175.04,91053075.0,175.04,828408,172.6956,False,AAPL
2024-04-12,174.26,178.36,174.21,176.55,101282386.0,176.55,960229,176.3413,False,AAPL
2024-04-15,175.36,176.63,172.5,172.69,73498773.0,172.69,846771,174.1336,False,AAPL
2024-04-16,171.75,173.76,168.27,169.38,73665235.0,169.38,834297,170.0498,False,AAPL
2024-04-17,169.61,170.65,168.0,168.0,50351210.0,168.0,599004,168.9807,False,AAPL
2024-04-18,168.03,168.64,166.55,167.04,43103753.0,167.04,553239,167.3951,False,AAPL
2024-04-19,166.21,166.4,164.075,165.0,68149377.0,165.0,754775,165.1473,False,AAPL
2024-04-22,165.515,167.26,164.77,165.84,48071343.0,165.84,610367,165.9651,False,AAPL
2024-04-23,165.35,167.05,164.92,166.9,49537761.0,166.9,554942,166.5257,False,AAPL
2024-04-24,166.54,169.3,166.21,169.02,48251835.0,169.02,584990,168.4404,False,AAPL
2024-04-25,169.525,170.61,168.1511,169.89,50558329.0,169.89,608882,169.4461,False,AAPL
2024-04-26,169.88,171.34,169.18,169.3,44812854.0,169.3,563911,169.9936,False,AAPL
2024-04-29,173.37,176.03,173.1,173.5,68149919.0,173.5,808215,174.3663,False,AAPL
2024-04-30,173.33,174.99,170.0,170.33,65824776.0,170.33,647476,172.1418,False,AAPL
2024-05-01,169.58,172.705,169.11,169.3,49387185.0,169.3,648626,170.7198,False,AAPL
2024-05-02,172.51,173.415,170.89,173.03,94211515.0,173.03,944119,174.5241,False,AAPL
2024-05-06,182.354,184.2,180.42,181.71,78319667.0,181.71,898763,181.8711,False,AAPL
2024-05-07,183.45,184.9,181.32,182.4,77298571.0,182.4,747518,182.7741,False,AAPL
2024-05-08,182.85,183.07,181.45,182.74,45057087.0,182.74,518609,182.4822,False,AAPL
2024-05-09,182.56,184.66,182.11,184.57,48948972.0,184.57,551004,184.005,False,AAPL
2024-05-10,184.9,185.09,182.13,183.05,50745096.0,183.05,558778,183.097,False,AAPL
2024-05-13,185.435,187.1,184.62,186.28,71969409.0,186.28,726518,186.2045,False,AAPL
2024-05-14,187.51,188.3,186.29,187.43,52393619.0,187.43,559493,187.1924,False,AAPL
2024-05-15,187.91,190.65,187.37,189.72,70381988.0,189.72,727614,189.6538,False,AAPL
2024-05-16,190.47,191.095,189.6601,189.84,52845230.0,189.84,566951,190.1061,False,AAPL
2024-05-17,189.51,190.81,189.18,189.87,41282925.0,189.87,478193,189.9231,False,AAPL
2024-05-20,189.325,191.9199,189.01,191.04,44361275.0,191.04,566908,191.0826,False,AAPL
2024-05-21,191.09,192.73,190.9201,192.35,42309401.0,192.35,502788,192.2542,False,AAPL
2024-05-22,192.265,192.8231,190.27,190.9,34648547.0,190.9,452377,191.4301,False,AAPL
2024-05-23,190.98,191.0,186.625,186.88,51005924.0,186.88,574010,188.1932,False,AAPL
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0,189.98,492870,189.7193,False,AAPL
2024-05-28,191.51,193.0,189.1,189.99,52230051.0,189.99,702190,190.8158,False,AAPL
2024-05-29,189.61,192.247,189.51,190.29,53068016.0,190.29,603502,191.1133,False,AAPL
2024-05-30,190.76,192.18,190.63,191.29,49947941.0,191.29,568984,191.4032,False,AAPL
2024-05-31,191.44,192.57,189.91,192.25,75158277.0,192.25,618230,191.6187,False,AAPL
2024-06-03,192.9,194.99,192.52,194.03,50078439.0,194.03,700956,193.7892,False,AAPL
2024-06-04,194.635,195.32,193.0342,194.35,47471445.0,194.35,575318,194.3014,False,AAPL
2024-06-05,195.4,196.9,194.87,195.87,54156785.0,195.87,648283,195.8699,False,AAPL
2024-06-06,195.685,196.5,194.17,194.48,41162753.0,194.48,550122,195.3147,False,AAPL
2024-06-07,194.65,196.94,194.14,196.89,53085712.0,196.89,505958,195.9035,False,AAPL
2024-06-10,196.9,197.3,192.15,193.12,97262077.0,193.12,1115274,194.4151,False,AAPL
2024-06-12,207.37,220.2,206.9,213.07,198109293.0,213.07,1861009,215.2622,False,AAPL
2024-06-13,214.74,216.75,211.6,214.24,97750229.0,214.24,1032968,214.0158,False,AAPL
2024-06-14,213.85,215.17,211.3,212.49,70108898.0,212.49,793743,212.7595,False,AAPL
2024-06-17,213.37,218.95,212.72,216.67,93689100.0,216.67,1034961,216.4099,False,AAPL
2024-06-18,217.59,218.63,213.0,214.29,79943254.0,214.29,919960,214.7342,False,AAPL
2024-06-20,213.93,214.24,208.85,209.68,86095783.0,209.68,1005360,210.6223,False,AAPL
2024-06-21,210.39,211.89,207.11,207.49,246421353.0,207.49,881938,208.4264,False,AAPL
2024-06-24,207.72,212.7,206.59,208.14,80721906.0,208.14,916151,209.3296,False,AAPL
2024-06-25,209.15,211.38,208.61,209.07,56280868.0,209.07,621193,209.6841,False,AAPL
2024-06-26,211.5,214.86,210.64,213.25,66213186.0,213.25,769103,213.1448,False,AAPL
2024-06-27,214.69,215.7395,212.35,214.1,49772707.0,214.1,644397,213.9138,False,AAPL
2024-06-28,215.77,216.07,210.3,210.62,82538718.0,210.62,729911,212.5585,False,AAPL
2024-07-01,212.09,217.51,211.92,216.75,60402929.0,216.75,784845,215.5066,False,AAPL
2024-07-02,216.15,220.38,215.1,220.27,58046178.0,220.27,689998,219.2005,False,AAPL
2024-07-03,220.0,221.55,219.03,221.55,37269801.0,221.55,566783,220.6593,False,AAPL
2024-07-05,221.65,226.45,221.65,226.34,59517108.0,226.34,767413,224.9718,False,AAPL
2024-07-08,227.09,227.85,223.25,227.82,59085861.0,227.82,790096,226.3635,False,AAPL
2024-07-09,227.93,229.4,226.3721,228.68,48013382.0,228.68,651066,228.2164,False,AAPL
2024-07-10,229.3,233.08,229.25,232.98,62627687.0,232.98,782526,231.6614,False,AAPL
2024-07-11,231.39,232.39,225.77,227.57,64456867.0,227.57,889306,228.4586,False,AAPL
2024-07-12,228.92,232.64,228.68,230.54,53046527.0,230.54,706283,230.9577,False,AAPL
2024-07-15,236.48,237.23,233.09,234.4,62623152.0,234.4,822674,234.9027,False,AAPL
2024-07-16,235.0,236.27,232.33,234.82,41184278.0,234.82,623962,234.3335,False,AAPL
2024-07-17,229.45,231.4599,226.64,228.88,57345884.0,228.88,811104,228.8407,False,AAPL
